src_ip,mean_ratio,std_ratio
192.168.108.176,8.407,1.696
192.168.108.177,8.707,1.687
192.168.108.178,8.449,1.553
192.168.108.179,8.375,1.432
192.168.108.18,8.388,1.544
192.168.108.180,8.251,1.890
192.168.108.181,8.269,1.517
192.168.108.182,8.388,1.370
192.168.108.183,8.419,1.575
192.168.108.184,8.488,1.596
192.168.108.185,8.220,1.472
192.168.108.186,8.306,1.425
192.168.108.187,8.492,1.378
192.168.108.188,8.638,1.795
192.168.108.189,8.072,1.602
192.168.108.19,8.291,1.424
192.168.108.190,8.449,1.636
192.168.108.191,8.633,1.506
192.168.108.192,8.244,1.495
192.168.108.193,8.308,1.636
192.168.108.194,8.227,1.675
192.168.108.195,8.494,1.579
192.168.108.196,8.389,1.509
192.168.108.197,8.529,1.776
192.168.108.198,8.138,1.565
192.168.108.199,8.599,1.604
192.168.108.20,8.241,1.800
192.168.108.200,8.355,1.637
192.168.108.201,7.945,2.055
192.168.108.202,8.499,1.558
192.168.108.203,8.423,1.425
192.168.108.204,8.458,1.646
192.168.108.205,8.310,1.463
192.168.108.206,8.367,1.423
192.168.108.207,8.130,1.559
192.168.108.209,8.365,1.536
192.168.108.21,8.489,1.603
192.168.108.210,8.445,1.544
192.168.108.22,8.453,1.429
192.168.108.23,8.656,1.706
192.168.108.24,8.332,1.523
192.168.108.25,8.337,1.477
192.168.108.26,8.467,1.567
192.168.108.27,8.318,1.326
192.168.108.28,8.508,1.632
192.168.108.29,8.350,1.419
192.168.108.30,8.503,1.432
192.168.108.31,8.714,1.648
192.168.108.32,8.442,1.584
192.168.108.33,8.130,1.252
192.168.108.34,8.083,1.400
192.168.108.35,8.478,1.576
192.168.108.36,8.551,1.649
192.168.108.37,8.346,1.386
192.168.108.38,8.412,1.622
192.168.108.39,8.434,1.418
192.168.108.40,8.459,1.415
192.168.108.41,8.497,1.532
192.168.108.42,8.494,1.514
192.168.108.43,8.399,1.411
192.168.108.44,8.217,1.384
192.168.108.45,8.283,1.339
192.168.108.46,8.327,1.583
192.168.108.47,8.268,1.326
192.168.108.48,8.406,1.379
192.168.108.49,8.368,1.475
192.168.108.50,8.142,1.376
192.168.108.51,8.301,1.618
192.168.108.52,8.166,1.532
192.168.108.53,8.630,1.654
192.168.108.54,8.311,1.504
192.168.108.55,8.495,1.532
192.168.108.56,8.423,1.594
192.168.108.57,8.455,1.523
192.168.108.58,8.353,1.598
192.168.108.59,8.559,1.495
192.168.108.60,8.532,1.391
192.168.108.61,8.287,1.777
192.168.108.62,8.321,1.624
192.168.108.64,8.361,1.504
192.168.108.65,8.653,1.689
192.168.108.66,8.480,1.573
192.168.108.67,8.267,1.540
192.168.108.68,8.389,1.427
192.168.108.69,8.502,1.692
192.168.108.70,8.534,1.580
192.168.108.71,7.401,3.380
192.168.108.72,8.359,1.420
192.168.108.73,8.314,1.371
192.168.108.74,8.351,1.721
192.168.108.75,8.507,1.401
192.168.108.76,8.556,1.548
192.168.108.77,8.471,1.554
192.168.108.78,8.390,1.577
192.168.108.79,8.480,1.707
192.168.108.80,8.151,1.510
192.168.108.81,8.522,1.370
192.168.108.82,8.170,1.699
192.168.108.83,8.204,1.470
192.168.108.84,8.452,1.399
192.168.108.85,8.416,1.764
192.168.108.86,8.569,1.688
192.168.108.88,8.518,1.301
192.168.108.89,8.316,2.089
192.168.108.90,8.498,1.498
192.168.108.91,8.048,1.499
192.168.108.92,8.285,1.365
192.168.108.93,8.417,1.477
192.168.108.94,8.391,1.414
192.168.108.95,8.504,1.753
192.168.108.96,8.312,1.684
192.168.108.97,8.406,1.612
192.168.108.98,8.304,1.430
192.168.108.99,8.294,1.430
Overall,8.400,1.517
